Data Medicao;PRECIPITACAO TOTAL;PRESSAO ATMOSFERICA MEDIA ;TEMPERATURA DO PONTO DE ORVALHO ;TEMPERATURA MEDIA;UMIDADE RELATIVA DO AR;VENTO, VELOCIDADE MEDIA
01/01/2012;1,8;905,708333;14,633333;18,754167;77,625;2,175
02/01/2012;1,2;905,366667;13,108333;19,129167;70,666667;1,616667
03/01/2012;0,6;908,0125;11,691667;20,7375;61,208333;2,283333
04/01/2012;0,4;910,1375;11,9;21,420833;59,541667;2,158333
05/01/2012;0,2;911,220833;13,75;19,745833;69,458333;2,616667
06/01/2012;0,4;910,05;14,941667;20,533333;72,166667;2,066667
07/01/2012;1,4;911,4;15,0375;20,354167;73,333333;1,875
08/01/2012;6,2;913,695833;15,329167;20,6625;72,625;2,483333
09/01/2012;0;913,595652;15,243478;19,673913;76,521739;2,786957
10/01/2012;9,4;911,1875;15,0375;19,5125;76,916667;1,7
11/01/2012;2,8;911,916667;14,991667;20,004167;73,375;2,4875
12/01/2012;1,4;911,908333;14,733333;20,858333;68,541667;2,629167
13/01/2012;0;909,5125;14,5875;19,775;72,375;2,416667
14/01/2012;4,4;905,65;16,091667;20,304167;77,083333;2,775
15/01/2012;5,2;908,391667;16,529167;21,308333;76,041667;2,1625
16/01/2012;4,8;911,204167;16,541667;20,983333;76,5;1,970833
17/01/2012;3,2;911,054167;15,358333;20,7625;72,75;1,829167
18/01/2012;2,2;911,195833;14,55;18,7125;77,333333;2,075
19/01/2012;1,8;910,254167;14,108333;20,2125;69,291667;1,754167
20/01/2012;1,2;910,858333;14,95;22,041667;66,166667;2,275
21/01/2012;1,4;911,020833;15,416667;21,4875;69,916667;1,708333
22/01/2012;1;910,308333;15,741667;21,1375;73,083333;1,654167
23/01/2012;2,8;909,5125;16,541667;21,616667;74,583333;1,529167
24/01/2012;10,8;909,091667;15,970833;22,3625;68,875;2,279167
25/01/2012;0;909,125;16,370833;22,729167;67,916667;2,858333
26/01/2012;9,2;912,091667;13,616667;16,166667;84,833333;2,808333
27/01/2012;4;912,583333;11,804167;15,816667;77,416667;2,191667
28/01/2012;0;912,1125;11,466667;17,016667;71,958333;1,491667
29/01/2012;0;910,858333;11,8;19,429167;64,791667;1,3875
30/01/2012;0;909,8125;12,591667;20,929167;62,333333;1,9125
31/01/2012;0;909,645833;13,508333;20,866667;65,791667;1,683333
01/02/2012;0;910,125;13,508333;21,716667;63,791667;1,7625
02/02/2012;0;911,408333;15,929167;23,516667;66,458333;2,320833
03/02/2012;0;912,7;16,7625;24,508333;65,458333;2,191667
04/02/2012;0;912,820833;16,8;25,541667;63,541667;2
05/02/2012;0;912,554167;16,7375;25,966667;59,708333;1,3
06/02/2012;0;911,904167;16,441667;25,7125;60,916667;2,079167
07/02/2012;0;910,279167;15,7375;25,283333;58,125;2,016667
08/02/2012;0,2;908,858333;16,466667;23,058333;69,583333;1,7625
09/02/2012;20,4;908,525;17,5;22,8375;75,083333;1,35
10/02/2012;2,4;909,079167;17,329167;19,504167;87,541667;2,025
11/02/2012;52,2;909,066667;14,979167;19,3;77,75;1,3
12/02/2012;0;909,629167;14,391667;20,675;69,083333;1,583333
13/02/2012;0;911,675;14,770833;18,945833;77,291667;1,920833
14/02/2012;11,8;913,7875;16,2625;19,575;81,541667;2,3375
15/02/2012;0,6;915,695833;16,325;20,2;79,333333;1,291667
16/02/2012;7,4;915,4375;15,916667;21,466667;72,666667;2,104167
17/02/2012;0;913,9375;14,291667;21,05;67,541667;1,929167
18/02/2012;0;913,425;15,633333;22,775;66,416667;1,95
19/02/2012;0;913,0375;16,708333;23,158333;68,916667;1,583333
20/02/2012;9,8;911,704167;15,425;21,908333;69,375;1,3875
21/02/2012;22,4;910,454167;15,116667;20,920833;71,041667;1,95
22/02/2012;2,2;907,904167;16,325;21,175;74,25;2,575
23/02/2012;2,4;908,766667;17,283333;21,845833;76,333333;1,3125
24/02/2012;5,2;910,0625;17,704167;20,783333;82,916667;1,4125
25/02/2012;16,2;908,933333;17,2;21,5125;77,583333;1,875
26/02/2012;1;908,775;17,329167;21,958333;75,75;2,1
27/02/2012;2,4;911,204167;17,9875;21,308333;81,958333;1,4125
28/02/2012;23,8;911,5;17,041667;20,916667;79,833333;1,479167
29/02/2012;6,2;911,1125;16,2375;24,104167;64,916667;1,554167
01/03/2012;0;910,733333;16,058333;25,245833;59,666667;2,508333
02/03/2012;0;910,8;15,854167;22,795833;66,166667;2,491667
03/03/2012;0;914,05;16,291667;20,8375;75,708333;2,533333
04/03/2012;0;914,458333;15,545833;21,3375;70,708333;1,925
05/03/2012;0;913,808333;15,229167;21,954167;68,541667;2,029167
06/03/2012;0;914,779167;15,183333;21,683333;69,208333;2,05
07/03/2012;0;915,608333;13,5;21,55;64,166667;2,158333
08/03/2012;0;914,475;12,320833;21,120833;62,291667;1,6125
09/03/2012;0;912,970833;13,7125;20,758333;67,166667;1,670833
10/03/2012;0;913,333333;12,670833;21,066667;63,875;1,775
11/03/2012;0;912,7375;14,779167;22,9625;64,333333;1,604167
12/03/2012;0;911,333333;13,179167;22,983333;58,916667;1,354167
13/03/2012;0;910,316667;14,308333;23,366667;62,791667;1,529167
14/03/2012;0;909,4375;15,441667;23,645833;63,208333;2,166667
15/03/2012;2,4;911,1875;16,475;19,266667;84,208333;1,766667
16/03/2012;10,8;913,966667;13,929167;16,7;83,875;2,516667
17/03/2012;0,2;914,741667;13,404167;17,816667;76,041667;2,166667
18/03/2012;0;913,866667;12,508333;17,891667;72,583333;2,1125
19/03/2012;0;912,679167;12,85;18,3375;72,25;2,016667
20/03/2012;0;911,529167;12,85;19,591667;68,666667;1,55
21/03/2012;0;909,165217;13,956522;21,426087;66,217391;2,426087
22/03/2012;0;907,133333;14,3875;20,683333;67,916667;2,325
23/03/2012;0,4;907,108333;14,6125;19,75;73,333333;1,6375
24/03/2012;0,4;909,416667;14,016667;19,625;72,708333;1,383333
25/03/2012;3;911,579167;15,475;20,416667;75,416667;2,4375
26/03/2012;0;911,054167;16,1125;22,85;68,583333;2,191667
27/03/2012;26,2;910,141667;15,370833;18,954167;80,291667;2,8875
28/03/2012;0,6;912,395833;3,670833;14,904167;52,666667;2,658333
29/03/2012;0;914,508333;9,683333;14,833333;72,458333;1,904167
30/03/2012;0;916,516667;11,9375;17,533333;72,208333;1,525
31/03/2012;0;916,775;13,054167;17,520833;76,833333;1,866667
01/04/2012;0,2;914,675;12,95;18,0625;74,5;1,458333
02/04/2012;0;913,529167;13;18,6;72,708333;1,433333
03/04/2012;0;913,175;13,179167;19,420833;69,791667;1,5
04/04/2012;0;912,054167;14,016667;20,254167;70,708333;1,554167
05/04/2012;0;909,708333;15,033333;21,116667;71,958333;2,970833
06/04/2012;2,2;909,5125;12,891667;20,379167;64;1,945833
07/04/2012;0;910,566667;15,758333;21,3875;72,666667;2,054167
08/04/2012;0;911,533333;16,391667;19,745833;81,666667;1,591667
09/04/2012;31,2;913,470833;13,770833;17,858333;78,166667;1,9
10/04/2012;0,2;914,720833;15,116667;19,620833;75,75;2,5875
